Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Sampletype,Method.of.detection,Gene,Pathogen,Hosts.studied,Host.positive,Infection.prevalence.host,Ecotype.AP,Sequencing,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AF,Same.reference,Multiple.species,Notes,Birds
0389,"Szekeres et al., 2018","Budapest, XII. district; Balatonakarattya, Veszprém County",Hungary,No,Urban,April and August of 2015,Eurasian red squirrel,Sciurus vulgaris,Mammal,Road kill,"Muscle, spleen, skin and blood",qPCR and cPCR,msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,T,"Szekeres et al., (2018) ",No,Only 1 is tested in blood,No birds
0390,"Szekeres et al., 2018","Solymár, Pest County; Margaret Island, Budapest",Hungary,No,Urban,April and August of 2015,European mole,Talpa europaea,Mammal,Accidently killed,"Liver, muscle, skin, spleen and blood",qPCR and cPCR,msp2,A. phagocytophilum,4,0,0.00,NA,NA,No,NA,T,"Szekeres et al., (2018) ",No,Only 3 are tested in blood,No birds
0391,"Szekeres et al., 2018","Budapest, XI. district",Hungary,No,Urban,April and August of 2015,European roe deer,Capreolus capreolus,Mammal,Road kill,"Skin, spleen and thymus",qPCR and cPCR,msp2,A. phagocytophilum,1,1,1.00,No,Yes,No,NA,T ,"Szekeres et al., (2018) ",No,"Animal was positive in skin, not in spleen and thymus.",No birds
0392,"Szekeres et al., 2018","Eger, Heves County",Hungary,No,Urban,April and August of 2015,Lesser white-toothed shrew,Crocidura suaveolens,Mammal,Accidently killed,"Muscle, skin and spleen",qPCR and cPCR,msp2,A. phagocytophilum,1,1,1.00,No,Yes,No,NA,T,"Szekeres et al., (2018) ",No,Animal was positive in muscle and negative in skin and spleen.,No birds
0393,"Szekeres et al., 2018","Budapest, XI. district",Hungary,No,Urban,April and August of 2015,Beech marten,Martes foina,Mammal,Road kill,"Muscle, and skin",qPCR and cPCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,T,"Szekeres et al., (2018) ",No,,No birds
0394,"Szekeres et al., 2018","Budapest, XIV. district",Hungary,No,Urban,April and August of 2015,House mouse,Mus musculus,Mammal,Road kill,"Muscle, and skin",qPCR and cPCR,msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,T,"Szekeres et al., (2018) ",No,,No birds
0395,"Szubert-Kruszynska et al., 2018","(1) Studnisko cave (Krakowsko-Wieluńska Upland, 19° 16′ E; 50° 43′ N), (2) Szachownica cave (Śląsko-Krakowska Upland, 18° 48′ E; 51° 03′N), (3) school attic in Kopanki (Wielkopolska Province, 16° 18′ E, 52° 17′ N), (4) church attic in Skalnik (the Beskid Mountains, a part of the Carpathians,  21° 28′ E, 49° 34′ N) and (5) Nowosielce (the Beskid Mountains, a part of the Carpathians, 22° 23′ E, 50° 03′ N).",Poland,No,Caves and attics,mid-May to mid-August 2007 - 2008,Mouse-eared myotis,Myotis myotis,Mammal,Scientific capturing,Blood,conventional PCR,msp2,A. phagocytophilum,80,1,0.01,No,Yes,No,NA,No,NA,No,Only bats with spinturnicid mites were included in this study,No birds
0396,"Tolnai et al., 2015",Hungary,Hungary,No,NA,November 2013 to June 2014,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen,real-time PCR and conventional PCR,16S rDNA,A. phagocytophilum,415,52,0.13,No,Yes,Yes,95% CI given per area,No,NA,No,,No birds
0397,"Torina et al., 2008",Umbria,Italy,No,NA,2003-2006,European roe deer,Capreolus capreolus,Mammal,Scientific capturing,Blood,PCR,16S rDNA or msp4,A. phagocytophilum,8,4,0.50,No,Yes,No,NA,No,NA,No,,No birds
0398,"Torina et al., 2008",Sicily,Italy,No,NA,2003-2006,Wild boar,Sus scrofa,Mammal,Scientific capturing,Blood,PCR,16S rDNA or msp4,A. phagocytophilum,9,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0399,"Torina et al., 2013","Provinces of Palermo and Ragusa, Sicily",Italy,No,NA,December 2011 and January 2012,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen,qPCR,16S rRNA,A. phagocytophilum,13,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0400,"Veronesi et al., 2011","Park of Bosco Melosa, Central-Northern Italy",Italy,No,NA,Mid-September to Mid-November 2007,Fallow deer,Dama dama,Mammal,Hunting,Blood,nested PCR,16S rRNA,A. phagocytophilum,72,11,0.15,No,Yes,No,NA,AF,"Veronesi et al., (2011)",No,,No birds
0401,"Vichova et al., 2010",Slovakia,Slovakia,No,Montane and submontane areas,May 2004 to December 2007,Brown bear,Ursus arctos,Mammal,Scientific capturing,"Muscle, liver, or spleen",PCR,16S rRNA,A. phagocytophilum,74,18,0.24,No,Yes,Yes,95% CI Infection prevalence host: 0.151–0.357,No,NA,No,,No birds
0402,"Vichova et al., 2014","Districts and surroundings of the cities Ruzomberok (49°04´ N, 19°18´ E), Rozhanovce (48°45´ N, 21°20´ E), Šebastovce (48°39´ N, 21°16´ E) and within the district of Lucenec city (48°19´ N, 19°39´ E)",Slovakia,No,NA,NA,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Spleen and ear,nested PCR,16S rRNA,A. phagocytophilum,221,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0403,"Vichova et al., 2014","Districts and surroundings of the cities Ruzomberok (49°04´ N, 19°18´ E), Rozhanovce (48°45´ N, 21°20´ E), Šebastovce (48°39´ N, 21°16´ E) and within the district of Lucenec city (48°19´ N, 19°39´ E)",Slovakia,No,NA,NA,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Spleen and ear,nested PCR,16S rRNA,A. phagocytophilum,15,1,0.07,No,Yes,No,NA,No,NA,No,,No birds
0404,"Vichova et al., 2014","Districts and surroundings of the cities Ruzomberok (49°04´ N, 19°18´ E), Rozhanovce (48°45´ N, 21°20´ E), Šebastovce (48°39´ N, 21°16´ E) and within the district of Lucenec city (48°19´ N, 19°39´ E)",Slovakia,No,NA,NA,Herb field mouse,Apodemus uralensis,Mammal,Scientific capturing,Spleen and ear,nested PCR,16S rRNA,A. phagocytophilum,5,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0405,"Vichova et al., 2014",Slovakia,Slovakia,No,NA,NA,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood and tissue,nested PCR,16S rRNA,A. phagocytophilum,13,8,0.62,No,Yes,No,NA,No,NA,No,,No birds
0406,"Vichova et al., 2014",Slovakia,Slovakia,No,NA,NA,Red deer,Cervus elaphus,Mammal,Hunting,Blood and tissue,nested PCR,16S rRNA,A. phagocytophilum,103,18,0.18,No,Yes,No,NA,No,NA,No,,No birds
0407,"Vichova et al., 2014",Slovakia,Slovakia,No,NA,NA,Fallow deer,Dama dama,Mammal,Hunting,Blood and tissue,nested PCR,16S rRNA,A. phagocytophilum,3,2,0.67,No,Yes,No,NA,No,NA,No,,No birds
0408,"Vichova et al., 2014","Districts and surroundings of the cities Ruzomberok (49°04´ N, 19°18´ E), Rozhanovce (48°45´ N, 21°20´ E), Šebastovce (48°39´ N, 21°16´ E) and within the district of Lucenec city (48°19´ N, 19°39´ E)",Slovakia,No,NA,NA,Common vole,Microtus arvalis,Mammal,Scientific capturing,Spleen and ear,nested PCR,16S rRNA,A. phagocytophilum,22,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0409,"Vichova et al., 2014","Districts and surroundings of the cities Ruzomberok (49°04´ N, 19°18´ E), Rozhanovce (48°45´ N, 21°20´ E), Šebastovce (48°39´ N, 21°16´ E) and within the district of Lucenec city (48°19´ N, 19°39´ E)",Slovakia,No,NA,NA,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Spleen and ear,nested PCR,16S rRNA,A. phagocytophilum,23,1,0.04,No,Yes,No,NA,No,NA,No,,No birds
0410,"Vichova et al., 2014","Slovak Paradise National Park (48°54´ N, 20°20´ E) ",Slovakia,No,NA,NA,Alpine chamois,Rupicapra rupicapra,Mammal,Hunting,Tissue,nested PCR,16S rRNA,A. phagocytophilum,57,2,0.04,No,Yes,No,NA,No,NA,No,,No birds
0411,"Vichova et al., 2014",Slovakia,Slovakia,No,NA,NA,Wild boar,Sus scrofa,Mammal,Hunting,Blood and tissue,nested PCR,16S rRNA,A. phagocytophilum,84,14,0.17,No,Yes,No,NA,No,NA,No,,No birds
0412,"Vichova et al., 2014",Eastern Slovakia,Slovakia,No,NA,NA,Red fox,Vulpes vulpes,Mammal,Hunting,Tissue,nested PCR,16S rRNA,A. phagocytophilum,248,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0413,"Vichova et al., 2016",Liptovska Mara,Slovakia,No,NA,NA,Great cormorant,Phalacrocorax carbo,Bird,Hunting,Skeletal muscle tissue,nested PCR,16S rDNA,A. phagocytophilum,32,2,0.06,No,No,No,NA,No,NA,No,,Resident birds
0414,"Welc-Faleciak et al., 2013","Murowana Goslina, Margonin, Sierakow, Lubuskie, Mazowieckie and Warminsko provinces",Poland,No,NA,Fall 2010 and winter 2011,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,PCR,groESL & 16S rRNA,A. phagocytophilum,67,25,0.37,No,Yes,No ,NA,No,NA,No,,No birds
0415,"Zele et al., 2012",Slovenia,Slovenia,No,NA,2008 -2010,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,real-time PCR,NA,A. phagocytophilum,160,10,0.06,No,No,No,NA,No,NA,No,,No birds
0416,"Zeman & Pecha, 2008","Near Krivoklat, Central Bohemia",Czech Republic,No,Forest,1999–2002,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood and spleen,nested PCR,16S rRNA,A. phagocytophilum,10,4,0.40,No,Yes,Yes,"95% CI: 6,7-65,2% (in blood)",No,NA,No,"All tested in blood, 3 tested in spleen. 2 pos in blood, 1 pos in blood and spleen and 1 pos in spleen. (of the 3 tested in both: 1 neg, 1 spleen and 1 blood and spleen)",No birds
0417,"Zeman & Pecha, 2008","Near Krivoklat, Central Bohemia",Czech Republic,No,Forest,1999–2002,Red deer,Cervus elaphus,Mammal,Hunting,Blood and spleen,nested PCR,16S rRNA,A. phagocytophilum,21,19,0.90,No,Yes,Yes,"95% CI: 63,7-97,0% (in blood)",No,NA,No,"All tested in blood, 5 tested in spleen. 15 pos in blood, 3 in blood and spleen and 1 only in spleen. (Of the 5 animals tested in both: 1 neg, 3 blood and spleen and 1 spleen)",No birds
0418,"Zeman & Pecha, 2008","Near Krivoklat, Central Bohemia",Czech Republic,No,Forest,1999–2002,Sika deer,Cervus nippon,Mammal,Hunting,Blood and spleen,nested PCR,16S rRNA,A. phagocytophilum,5,3,0.60,No,Yes,Yes,"95% CI: 5,3-85,3% (in blood)",No,NA,No,"All tested in blood, 4 tested in spleen. 1 pos in blood and spleen, 1 pos in blood and 1 pos in spleen (of the 4 tested in both: 1 pos in both, 1 spleen and 1 blood)",No birds
0419,"Zeman & Pecha, 2008","Near Krivoklat, Central Bohemia",Czech Republic,No,Forest,1999–2002,Fallow deer,Dama dama,Mammal,Hunting,Blood,nested PCR,16S rRNA,A. phagocytophilum,2,1,0.50,No,Yes,Yes,"95% CI: 1,3-98,7%",No,NA,No,,No birds
0420,"Zeman & Pecha, 2008","Near Krivoklat, Central Bohemia",Czech Republic,No,Forest,1999–2002,European mouflon,Ovis orientalis musimon,Mammal,Hunting,Blood and spleen,nested PCR,16S rRNA,A. phagocytophilum,28,1,0.04,No,Yes,Yes,"95% CI: 0,1-18,3% (in blood)",No,NA,No,All tested in blood and 4 tested in spleen. 1 positive in blood (of the 4 tested in both none were positive),No birds
0421,"Zeman & Pecha, 2008","Near Krivoklat, Central Bohemia",Czech Republic,No,Forest,1999–2002,Wild boar,Sus scrofa,Mammal,Hunting,Blood and spleen,nested PCR,16S rRNA,A. phagocytophilum,2,1,0.50,NA,NA,Yes,"95% CI: 0-84,2% (in blood)",No,NA,No,"All tested in blood, 1 tested in spleen. 1 pos in spleen.",No birds
