Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Pathogen,Tick.hosts,Hosts.studied,Genospecies.identification,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BH,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Total.ticks.tested,Total.ticks.positive,Total.ticks.infection.prevalence,Data.collection,Double.ext
361,"Mendoza-Roldan et al., 2019","Basilicata region (40°32'17""N, 16°07'20.17""E)",Italy,No,Forest,March-August 2018,Common wall lizard,Podarcis muralis,Reptile ,Scientific capturing,PCR,B. burgdorferi s.l.,12,18,"Yes, but not further specified",16,0,0.00,10,2,0.20,NA,NA,NA,NA,Yes,95% CI nymphs: 2.5-55.6,T+BH,"Mendoza-Roldan et al., 2019b",No,"Total P. siculus, P. muralis and L. bilineata: 28 sequences were B. lusitaniae",No birds,No,,,,L,No
362,"Mendoza-Roldan et al., 2019","Basilicata region (40°32'17""N, 16°07'20.17""E)",Italy,No,Forest,March-August 2018,Western green lizard,Lacerta bilineata,Reptile ,Scientific capturing,PCR,B. burgdorferi s.l.,5,5,"Yes, but not further specified",16,0,0.00,20,3,0.15,NA,NA,NA,NA,Yes,95% CI nymphs: 3.2-37.9,T+BH,"Mendoza-Roldan et al., 2019b",No,"Total P. siculus, P. muralis and L. bilineata: 28 sequences were B. lusitaniae",No birds,No,,,,L,No
363,"Mendoza-Roldan et al., 2019","Basilicata region (40°32'17""N, 16°07'20.17""E)",Italy,No,Forest,March-August 2018,Four-lined snake,Elaphe quatuorlineata,Reptile ,Scientific capturing,PCR,B. burgdorferi s.l. ,1,2,NA,8,0,0.00,0,NA,NA,NA,NA,NA,0,No,NA,T+BH,"Mendoza-Roldan et al., 2019b",No,,No birds,No,,,,L,No
364,"Michalik et al., 2003",Poznan,Poland,No,,,Striped field mouse,Apodemus agrarius,Mammal,,IFA,B. burgdorferi s.l.,,,No,85,23,0.27,5,2,0.40,0,NA,NA,,,,,,No,,No birds,,90,25,0.28,H,Yes
365,"Michalik et al., 2003",Poznan,Poland,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,IFA,B. burgdorferi s.l.,,,No,96,4,0.04,11,2,0.18,0,NA,NA,,,,,,No,,No birds,,107,6,0.06,H,Yes
366,"Michalik et al., 2003",Poznan,Poland,No,,,Bank vole,Myodes glareolus,Mammal,,IFA,B. burgdorferi s.l.,,,No,123,27,0.22,3,2,0.67,0,NA,NA,,,,,,No,,No birds,,126,29,0.23,H,Yes
367,"Michalik et al., 2005",Wielkopolski National Park,Poland,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR,B. burgdorferi s.l.,,,No,320,7,0.02,19,0,0.00,0,NA,NA,,,,,,No,,No birds,,339,7,0.02,H,Yes
368,"Michalik et al., 2008",Wielkopolski National Park,Poland,No,,,Hawfinch,Coccothraustes coccothraustes,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,5,0,0.00,10,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,15,0,0.00,H,Yes
369,"Michalik et al., 2008",Wielkopolski National Park,Poland,No,,,Blue tit,Cyanistes caeruleus,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,2,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Resident birds,,2,0,0.00,H,Yes
370,"Michalik et al., 2008",Wielkopolski National Park,Poland,No,,,European robin,Erithacus rubecula,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,9,0,0.00,3,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,12,0,0.00,H,Yes
371,"Michalik et al., 2008",Wielkopolski National Park,Poland,No,,,Common chaffinch,Fringilla coelebs,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,25,0,0.00,13,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,38,0,0.00,H,Yes
372,"Michalik et al., 2008",Wielkopolski National Park,Poland,No,,,Great tit,Parus major,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,15,0,0.00,11,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,26,0,0.00,H,Yes
373,"Michalik et al., 2008",Wielkopolski National Park,Poland,No,,,Eurasian nuthatch,Sitta europaea,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,6,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,6,0,0.00,H,Yes
374,"Michalik et al., 2008",Wielkopolski National Park,Poland,No,,,Common starling,Sturnus vulgaris,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,32,0,0.00,82,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,114,0,0.00,H,Yes
375,"Michalik et al., 2008",Wielkopolski National Park,Poland,No,,,Common blackbird,Turdus merula,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,47,10,0.21,103,10,0.10,0,NA,NA,,,,,,No,,Resident birds,,150,20,0.13,H,Yes
376,"Michalik et al., 2008",Wielkopolski National Park,Poland,No,,,Song thrush,Turdus philomelos,Bird,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,63,2,0.03,91,4,0.04,0,NA,NA,,,,,,No,,Resident birds,,154,6,0.04,H,Yes
377,"Michalik et al., 2020 ",Water Cave in Lesului Valley,Romania,No,Cave,"December, 2010",Mouse-eared myotis,Myotis myotis,Mammal,Scientific capturing,Nested PCR,B. burgdorferi s.l. ,1,NA,Yes,0,NA,NA,1,1,1.00,0,NA,NA,1,No,NA,No,NA,No,,No birds,No,,,,L,No
378,"Michalski et al., 2021",Warmia and Mazury Province,Poland ,No,NA,September-April 2018-2020,Cervidae spp.,Cervidae spp.,Mammal,Hunting,Nested PCR,Borellia spp. ,NA,NA,Yes,0,NA,NA,0,NA,NA,220,12,0.05,NA,No,NA,No,NA,Yes,Species: Cervus elaphus and Capreolus capreolus,No birds,No,,,,L,No
379,"Michalski et al., 2021",Warmia and Mazury Province,Poland,No,NA,September-April 2018-2020,Wild boar,Sus scrofa,Mammal,Hunting,Nested PCR,Borellia spp. ,NA,NA,NA,0,NA,NA,1,0,0.00,21,0,0.00,NA,No,NA,No,NA,No,,No birds,No,,,,L,No
380,"Mori et al., 2018",Cesa di Limana (46.044040 °N–12.230164° E) and Valmorel plateau (46.101781° N–12.151726° E),Italy,No,"Deciduous and coniferous woodlands, interspersd with meadows and pastures",July-October 2017,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Nested PCR,B. burgdorferi s.l.,1,17,NA,1,0,0.00,1,0,0.00,0,NA,NA,0,No,NA,No,NA,No,,No birds,No,,,,L,No
381,"Mori et al., 2018",Cesa di Limana (46.044040 °N–12.230164° E) and Valmorel plateau (46.101781° N–12.151726° E),Italy,No,"Deciduous and coniferous woodlands, interspersd with meadows and pastures",July-October 2017,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Nested PCR,B. burgdorferi s.l.,4,161,NA,0,NA,NA,2,0,0.00,2,0,0.00,0,No,NA,No,NA,No,,No birds,No,,,,L,No
382,"Mori et al., 2018","Limana, Mel, Lentiai, Sigurta Garden Park",Italy,No,NA,"March 2009, June 2009, May 2010, July 2016",Siberian chipmunk,Tamias sibiricus,Mammal,Road-killed,Nested PCR,B. burgdorferi s.l.,4,5,Yes,0,NA,NA,3,1,0.33,3,0,0.00,1,No,NA,No,NA,No,,No birds,No,,,,L,No
383,"Mori et al., 2018",Lentiai,Italy,No,NA,June 2012,Eurasian red squirrel,Sciurus vulgaris,Mammal,Road-killed,Nested PCR,B. burgdorferi s.l.,1,1,NA,0,NA,NA,1,0,0.00,0,NA,NA,0,No,NA,No,NA,No,,No birds,No,,,,L,No
384,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",European greenfinch,Carduelis chloris,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
385,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Short-toed treecreeper,Certhia brachydactyla,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,14,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,15,0,0.00,H,Yes
386,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Cetti's warbler,Cettia cetti,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
387,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",European robin,Erithacus rubecula,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,128,0,0.00,12,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,140,0,0.00,H,Yes
388,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Common chaffinch,Fringilla coelebs,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,2,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,3,0,0.00,H,Yes
389,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Eurasian jay,Garrulus glandarius,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,28,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,28,0,0.00,H,Yes
390,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Great tit,Parus major,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,4,0,0.00,3,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,7,0,0.00,H,Yes
391,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Iberian chiffchaff,Phylloscopus ibericus,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,2,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
392,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Eurasian nuthatch,Sitta europaea,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
393,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Eurasian blackcap,Sylvia atricapilla,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,16,0,0.00,2,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,18,0,0.00,H,Yes
394,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Sardinian warbler,Sylvia melanocephala,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,16,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,16,0,0.00,H,Yes
395,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Eurasian wren,Troglodytes troglodytes,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,44,0,0.00,5,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,49,0,0.00,H,Yes
396,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Song thrush,Turdus philomelos,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,17,3,0.18,0,NA,NA,,,,,,No,,Migratory birds,,17,3,0.18,H,Yes
397,"Norte et al., 2013",Western Portugal,Portugal,No,,"March 2010 - March 2011, monthly ",Common blackbird,Turdus merula,Bird,,nested PCR,B. burgdorferi s.l.,,,Yes,182,31,0.17,90,40,0.44,0,NA,NA,,,,,,No,"Hosts infected with B. garinii, B. valaisiana & B. turdi",Migratory birds,,272,69,0.25,H,Yes
398,"Norte et al., 2015a",19 counties ,Portugal,No,NA,January 2010 - August 2014,Great tit,Parus major,Bird,Scientific capturing ,Nested PCR,B. burgdorferi s.l.,NA,20,NA,1,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Resident birds,No,,,,L,No
399,"Norte et al., 2015a",19 counties ,Portugal,No,NA,January 2010 - August 2014,Sardinian warbler,Sylvia melanocephala,Bird,Scientific capturing ,Nested PCR,B. burgdorferi s.l.,1,1,Yes,0,NA,NA,1,1,1.00,0,NA,NA,NA,No,NA,No,NA,No,,Resident birds,No,,,,L,No
400,"Norte et al., 2015a",19 counties ,Portugal,No,NA,January 2010 - August 2014,Common blackbird,Turdus merula,Bird,Scientific capturing ,Nested PCR,B. burgdorferi s.l.,NA,123,Yes,10,0,0.00,18,2,0.11,1,0,0.00,NA,No,NA,No,NA,No,,Resident birds,No,,,,L,No
401,"Norte et al., 2015a",19 counties ,Portugal,No,NA,January 2010 - August 2014,Song thrush,Turdus philomelos,Bird,Scientific capturing ,Nested PCR,B. burgdorferi s.l.,NA,36,Yes,0,NA,NA,2,1,0.50,0,NA,NA,NA,No,NA,No,NA,No,,Resident birds,No,,,,L,No
402,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Iberian emerald lizard,Lacerta schreiberi,Reptile ,Scientific capturing ,Nested PCR,B. burgdorferi s.l. ,1,1,Yes,1,0,0.00,16,7,0.44,0,NA,NA,NA,No,NA,BH,"Norte et al., 2015",No,,No birds,No,,,,L,No
403,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Iberian wall lizard,Podarcis hispanica,Reptile ,Scientific capturing ,Nested PCR,B. burgdorferi s.l. ,25,27,Yes,99,0,0.00,12,2,0.17,0,NA,NA,NA,No,NA,BH,"Norte et al., 2015",No,,No birds,No,,,,L,No
404,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Algerian psammodromus,Psammodromus algirus,Reptile ,Scientific capturing ,Nested PCR,B. burgdorferi s.l. ,17,18,Yes,199,33,0.17,19,4,0.21,0,NA,NA,NA,No,NA,BH,"Norte et al., 2015",No,,No birds,No,,,,L,No
405,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,European rabbit,Oryctolagus cuniculus,Mammal,Road-killed,Nested PCR,B. burgdorferi s.l.,1,1,NA,1,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,BH,"Norte et al., 2015",No,,No birds,No,,,,L,No
406,"Norte et al., 2015b",Tapada de Mafra,Portugal,No,Mixed deciduous forest,March-June 2013,Wild boar,Sus scrofa,Mammal,Hunting,Nested PCR,B. burgdorferi s.l.,1,1,NA,0,NA,NA,9,0,0.00,2,0,0.00,NA,No,NA,No,NA,No,,No birds,No,,,,L,No
407,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Spotted flycatcher,Muscicapa striata,Bird,,PCR,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
408,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Spotted nutcracker,Nucifraga caryocatactes,Bird,,PCR,B. burgdorferi s.l.,,,NA,0,NA,NA,2,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
409,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Northern wheatear,Oenanthe oenanthe,Bird,,PCR,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
410,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Great tit,Parus major,Bird,,PCR,B. burgdorferi s.l.,,,NA,1,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
411,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Fieldfare,Turdus pilaris,Bird,,PCR,B. burgdorferi s.l.,,,NA,0,NA,NA,5,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,5,0,0.00,H,Yes
412,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Meadow pipit,Anthus pratensis,Bird,,PCR,B. burgdorferi s.l.,,,NA,2,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
413,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,European greenfinch,Carduelis chloris,Bird,,PCR,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
414,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Red-breasted flycatcher,Ficedula parva,Bird,,PCR,B. burgdorferi s.l.,,,NA,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
415,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Common chiffchaff,Phylloscopus collybita,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,7,2,0.29,0,NA,NA,,,,,,No,,Migratory birds,,7,2,0.29,H,Yes
416,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Bluethroat,Luscinia svecica,Bird,,PCR,B. burgdorferi s.l.,,,No,2,1,0.50,16,5,0.31,0,NA,NA,,,,,,No,,Migratory birds,,18,6,0.33,H,Yes
417,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Western yellow wagtail,Motacilla flava,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,1,1,1.00,0,NA,NA,,,,,,No,,Migratory birds,,1,1,1.00,H,Yes
418,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Common redstart,Phoenicurus phoenicurus,Bird,,PCR,B. burgdorferi s.l.,,,No,23,3,0.13,47,26,0.55,0,NA,NA,,,,,,No,,Migratory birds,,70,29,0.41,H,Yes
419,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Common chaffinch,Fringilla coelebs,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,3,1,0.33,0,NA,NA,,,,,,No,,Migratory birds,,3,1,0.33,H,Yes
420,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Song thrush,Turdus philomelos,Bird,,PCR,B. burgdorferi s.l.,,,No,12,3,0.25,38,13,0.34,0,NA,NA,,,,,,No,,Migratory birds,,50,16,0.32,H,Yes
421,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Willow warbler,Phylloscopus trochilus,Bird,,PCR,B. burgdorferi s.l.,,,No,16,3,0.19,50,19,0.38,0,NA,NA,,,,,,No,,Migratory birds,,66,22,0.33,H,Yes
422,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Thrush nightingale,Luscinia luscinia,Bird,,PCR,B. burgdorferi s.l.,,,No,46,7,0.15,44,17,0.39,0,NA,NA,,,,,,No,,Migratory birds,,90,24,0.27,H,Yes
423,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Garden warbler,Sylvia borin,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,1,1,1.00,0,NA,NA,,,,,,No,,Migratory birds,,1,1,1.00,H,Yes
424,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Whitethroat,Sylvia communis,Bird,,PCR,B. burgdorferi s.l.,,,No,7,1,0.14,30,9,0.30,1,1,1.00,,,,,,No,,Migratory birds,,38,11,0.29,H,Yes
425,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Lesser whitethroat,Sylvia curruca,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,4,1,0.25,0,NA,NA,,,,,,No,,Migratory birds,,4,1,0.25,H,Yes
426,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Eurasian wren,Troglodytes troglodytes,Bird,,PCR,B. burgdorferi s.l.,,,No,4,3,0.75,8,5,0.63,0,NA,NA,,,,,,No,,Migratory birds,,12,8,0.67,H,Yes
427,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Redwing thrush,Turdus iliacus,Bird,,PCR,B. burgdorferi s.l.,,,No,21,5,0.24,79,22,0.28,0,NA,NA,,,,,,No,,Migratory birds,,100,27,0.27,H,Yes
428,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Common blackbird,Turdus merula,Bird,,PCR,B. burgdorferi s.l.,,,No,10,1,0.10,111,35,0.32,0,NA,NA,,,,,,No,,Migratory birds,,121,36,0.30,H,Yes
429,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Reed bunting,Emberiza schoeniclus,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,2,1,0.50,0,NA,NA,,,,,,No,,Migratory birds,,2,1,0.50,H,Yes
430,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Dunnock,Prunella modularis,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,7,1,0.14,0,NA,NA,,,,,,No,,Migratory birds,,7,1,0.14,H,Yes
431,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Eurasian bullfinch,Pyrrhula pyrrhula,Bird,,PCR,B. burgdorferi s.l.,,,No,2,1,0.50,2,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,4,1,0.25,H,Yes
432,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Brambling,Fringilla montifringilla,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,9,3,0.33,0,NA,NA,,,,,,No,,Migratory birds,,9,3,0.33,H,Yes
433,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Common starling,Sturnus vulgaris,Bird,,PCR,B. burgdorferi s.l.,,,No,2,0,0.00,5,2,0.40,2,0,0.00,,,,,,No,,Migratory birds,,9,2,0.22,H,Yes
434,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Eurasian blackcap,Sylvia atricapilla,Bird,,PCR,B. burgdorferi s.l.,,,No,8,1,0.13,3,1,0.33,0,NA,NA,,,,,,No,,Migratory birds,,11,2,0.18,H,Yes
435,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Marsh warbler,Acrocephalus palustris,Bird,,PCR,B. burgdorferi s.l.,,,No,3,2,0.67,5,2,0.40,0,NA,NA,,,,,,No,,Migratory birds,,8,4,0.50,H,Yes
436,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Eurasian reed warbler,Acrocephalus scirpaceus,Bird,,PCR,B. burgdorferi s.l.,,,No,2,0,0.00,12,1,0.08,1,0,0.00,,,,,,No,,Migratory birds,,15,1,0.07,H,Yes
437,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Tree pipit,Anthus trivialis,Bird,,PCR,B. burgdorferi s.l.,,,No,31,5,0.16,74,18,0.24,0,NA,NA,,,,,,No,,Migratory birds,,105,23,0.22,H,Yes
438,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Common redpoll,Carduelis flammea,Bird,,PCR,B. burgdorferi s.l.,,,No,3,0,0.00,2,2,1.00,0,NA,NA,,,,,,No,,Migratory birds,,5,2,0.40,H,Yes
439,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Hawfinch,Coccothraustes coccothraustes,Bird,,PCR,B. burgdorferi s.l.,,,No,11,1,0.09,15,2,0.13,0,NA,NA,,,,,,No,,Migratory birds,,26,3,0.12,H,Yes
440,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Goldcrest,Regulus regulus,Bird,,PCR,B. burgdorferi s.l.,,,No,1,0,0.00,4,1,0.25,0,NA,NA,,,,,,No,,Migratory birds,,5,1,0.20,H,Yes
441,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,European robin,Erithacus rubecula,Bird,,PCR,B. burgdorferi s.l.,,,No,75,10,0.13,70,37,0.53,0,NA,NA,,,,,,No,,Migratory birds,,145,47,0.32,H,Yes
442,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Europaen pied flycatcher,Ficedula hypoleuca,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,1,1,1.00,0,NA,NA,,,,,,No,,Migratory birds,,1,1,1.00,H,Yes
443,"Olsen et al., 1995",Sweden & Denmark,Sweden & Denmark,Yes,,April-June and August-October 1991,Eurasian sparrowhawk,Accipiter nisus,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,2,1,0.50,0,NA,NA,,,,,,No,,Migratory birds,,2,1,0.50,H,Yes
444,"Pajoro et al., 2018","Arosio, Como (45°43'54.87''N, 9°12'40.10''E)",Italy,No,NA,6th of September - 29th of October 2010,Aves spp.,Aves spp.,Bird,Scientific capturing,PCR,B. burgdorferi s.l. ,NA,2793,"Yes, but not further specified",88,10,0.11,163,64,0.39,0,NA,NA,NA,No,NA,No,NA,Yes,"Species: Anthus trivialis, Erithacus rubecula, Fringilla coelebs, Parus major, Turdus iliacus, Turdus merula, Turdus philomelos, Sylvia atricapilla, Coccothraustes coccothraustes. Genospecies found in I. ricinus ticks: Borrelia garinii (19.5%), Borrelia afzelii (4.8%), Borrelia valaisiana (2.4%) and Borrelia lusitaniae (0.4%).",Migratory birds,No,,,,L,No
445,"Palomar et al., 2017","Santa Eulalia, La Rioja ",Spain,No,NA,2009-2011,European robin,Erithacus rubecula,Bird,Scientific capturing,Nested PCR,Borellia spp. ,3,15,NA,7,0,0.00,1,0,0.00,0,NA,NA,0,No,NA,No,NA,No,,Migratory birds,Yes,,,,L,No
446,"Palomar et al., 2017","Santa Eulalia, La Rioja ",Spain,No,NA,2009-2011,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,Nested PCR,Borellia spp. ,1,6,NA,0,NA,NA,1,0,0.00,0,NA,NA,0,No,NA,No,NA,No,,Migratory birds,Yes,,,,L,No
447,"Palomar et al., 2017","Santa Eulalia, La Rioja ",Spain,No,NA,2009-2011,Melodious warbler,Hippolais polyglotta,Bird,Scientific capturing,Nested PCR,Borellia spp. ,1,1,NA,2,0,0.00,0,NA,NA,0,NA,NA,0,No,NA,No,NA,No,,Migratory birds,Yes,,,,L,No
448,"Palomar et al., 2017","Santa Eulalia, La Rioja ",Spain,No,NA,2009-2011,Common nightingale,Luscinia megarhynchos,Bird,Scientific capturing,Nested PCR,Borellia spp. ,1,4,NA,0,NA,NA,1,0,0.00,0,NA,NA,0,No,NA,No,NA,No,,Migratory birds,Yes,,,,L,No
